group,n,mean,median,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,late_share,n_total,n_late
"stop_busyness_bin=(16173.0, 60150.0] | daypart=Morgen-Peak (6-9)",14562,0.38682873231698944,0.0,0.350409456118665,0.4249895275374261,0.0,0.0,,,
line_name=3,14258,0.3483518024968439,0.0,0.3260573011642587,0.37180547762659555,0.0,0.0,,,
line_name=4,14063,0.3305411363151533,0.0,0.3013478631870867,0.3624381355329588,0.0,0.0,,,
hour=16,13765,1.0688194696694515,0.0,1.0096440247003269,1.1280448601525608,0.0,0.0,,,
condition=rain,13585,0.6021862348178137,0.0,0.5574582259845418,0.6472059256532939,0.0,0.0,,,
destination=Tübingen WHO Ahornweg,13171,0.3107888543011161,0.0,0.27950497304684535,0.3448794700478323,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16173.0] | daypart=Abend-Peak (16-19)",12540,1.2502791068580545,0.0,1.1902834928229666,1.3127633572567783,0.0,0.0,,,
line_name=6,12446,0.40789811987787244,0.0,0.36702233649365257,0.45136228507150894,0.0,0.0,,,
hour=8,12083,0.7269717785318216,0.0,0.6826274517917736,0.7714950757262269,0.0,0.0,,,
hour=18,11969,0.9040939092656028,0.0,0.8568593867491018,0.9543178210376808,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16173.0] | daypart=Morgen-Peak (6-9)",11791,0.6263166822152489,0.0,0.5760287507420915,0.6839742176236113,0.0,0.0,,,
hour=17,11759,1.3437792329279699,0.0,1.2768466706352581,1.4118590016157837,0.0,0.0,,,
hour=14,11298,0.6731545406266595,0.0,0.63123473181094,0.7160535050451406,0.0,0.0,,,
hour=7,11297,0.44499424626006906,0.0,0.4006999645923697,0.4956247233778878,0.0,0.0,,,
hour=12,11289,0.4045531047922757,0.0,0.36601381876162636,0.44712552041810616,0.0,0.0,,,
hour=15,11230,0.7695102404274266,0.0,0.7235057880676758,0.8208875779162955,0.0,0.0,,,
hour=10,11158,0.3627442193941567,0.0,0.3367603961283384,0.390521598852841,0.0,0.0,,,
hour=6,10627,0.20050813964430225,0.0,0.17403688717417898,0.2297671026630281,0.0,0.0,,,
line_name=2,10542,0.4516220830961868,0.0,0.41077191235059757,0.4974032441661924,0.0,0.0,,,
line_name=1,10336,0.5020994582043343,0.0,0.45543416215170274,0.5487749129256966,0.0,0.0,,,
hour=11,10254,0.3242832065535401,0.0,0.29735859176906576,0.3539123756582796,0.0,0.0,,,
hour=9,10145,0.5344307540660423,0.0,0.4802843765401676,0.5942156234598326,0.0,0.0,,,
"stop_busyness_bin=(60150.0, 75480.0] | daypart=Spät (20-23)",9582,0.2394385305781674,0.0,0.20896394280943437,0.27201419327906484,0.0,0.0,,,
line_name=9,9017,0.5196517688810025,0.0,0.47887074414993896,0.5618004879671732,0.0,0.0,,,
hour=13,8993,0.5841543422662071,0.0,0.53784999444012,0.6353958634493494,0.0,0.0,,,
hour=19,8916,0.5501009421265141,0.0,0.5046338043965903,0.5978367541498429,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16173.0] | daypart=Spät (20-23)",8640,0.407800925925926,0.0,0.3613640046296297,0.4588289930555556,0.0,0.0,,,
line_name=8,8196,0.10301366520253782,0.0,0.08177159590043924,0.12752775744265493,0.0,0.0,,,
line_name=22,7995,0.7138461538461538,0.0,0.6650278298936835,0.7674803001876173,0.0,0.0,,,
line_name=18,7884,2.112214611872146,1.0,2.0449892186707253,2.1820161085743277,1.0,1.1,,,
"stop_busyness_bin=(16173.0, 60150.0] | daypart=Spät (20-23)",7820,0.19768542199488492,0.0,0.1663033887468031,0.23201023017902814,0.0,0.0,,,
line_name=12,7651,0.4195922101686054,0.0,0.3857129786955953,0.4538269507253953,0.0,0.0,,,
hour=20,7544,0.3368637327677625,0.0,0.2966695387062567,0.3793779825026511,0.0,0.0,,,
destination=Tübingen Derend. Käppele,7538,0.2365481560095516,0.0,0.21220084903157335,0.2615816529583444,0.0,0.0,,,
stop_name=Tübingen Hegelstraße,7203,0.7904761904761903,0.0,0.7081275163126476,0.873955296404276,0.0,0.0,,,
stop_name=Tübingen Freibad,7132,1.3753224901850811,0.0,1.3019223219293325,1.4518252243409984,0.0,0.0,,,
line_name=7,6919,0.7893626246567422,0.0,0.7269077901430844,0.8558903020667726,0.0,0.0,,,
hour=22,6588,0.2184729811778992,0.0,0.18645871281117185,0.25478863084395864,0.0,0.0,,,
line_name=10,6513,0.44856440964225397,0.0,0.4011972209427299,0.49667933364041145,0.0,0.0,,,
hour=21,6367,0.396528977540443,0.0,0.3288173394063139,0.46709831945971414,0.0,0.0,,,
destination=Hagelloch Dornäckerweg,6231,0.5353073342962607,0.0,0.486615310544054,0.5811671481303162,0.0,0.0,,,
line_name=21,6121,0.8487992158144094,0.0,0.760838506779938,0.9421528345041659,0.0,0.0,,,
line_name=19,6120,1.0088398692810456,0.0,0.9449125816993463,1.0767295751633985,0.0,0.0,,,
daypart=Nacht (0-5),6067,0.7871600461513105,0.0,0.7050576891379595,0.8721163672325696,0.0,0.0,,,
is_rainy=True,6063,0.8282203529605806,0.0,0.7516835724888669,0.9078389411182585,0.0,0.0,,,
line_name=13,5773,0.22303828165598477,0.0,0.16927031006409146,0.2850528321496622,0.0,0.0,,,
hour=23,5543,0.15484394732094534,0.0,0.13588219375789284,0.17485161464910698,0.0,0.0,,,
destination=Tübingen Bismarckturm,5516,0.37782813633067436,0.0,0.3250525743292241,0.43459209572153723,0.0,0.0,,,
line_name=11,5145,0.5785811467444121,0.0,0.5137220602526725,0.6457201166180759,0.0,0.0,,,
line_name=7625,4959,0.9282314982859449,0.0,0.8307375478927205,1.0351280500100826,0.0,0.0,,,
destination=Tübingen BG Unfallklinik,4819,1.0046275160821747,0.0,0.9298147956007471,1.0848645984644114,0.0,0.0,,,
condition=nan,4745,0.4057112750263435,0.0,0.36184404636459433,0.44868703898840884,0.0,0.0,,,
wind_bin=nan,4745,0.4057112750263435,0.0,0.36184404636459433,0.44868703898840884,0.0,0.0,,,
cloud_bin=nan,4745,0.4057112750263435,0.0,0.36184404636459433,0.44868703898840884,0.0,0.0,,,
destination=Tübingen Hagellocher Weg,4716,0.6842451229855812,0.0,0.6168320610687023,0.7544629983036472,0.0,0.0,,,
line_name=16,4680,1.0524145299145298,0.0,0.9679561965811967,1.1383616452991452,0.0,0.0,,,
destination=Tübingen Wennf. Garten,4595,0.3612840043525571,0.0,0.31066267682263327,0.4153465723612622,0.0,0.0,,,
destination=Tübingen Nelkenweg,4584,0.2669284467713787,0.0,0.23293793630017454,0.30144197207678886,0.0,0.0,,,
destination=Tübingen Schwärzlocher Str. 45,4428,0.6457091237579042,0.0,0.5686568428184282,0.7210495709123759,0.0,0.0,,,
date=2025-12-04,4107,1.0341855368882396,0.0,0.9107121986851717,1.1648478207937667,0.0,0.0,,,
date=2025-11-27,3942,0.7295281582952816,0.0,0.6716387620497211,0.7968835616438357,0.0,0.0,,,
date=2025-12-02,3936,1.4320630081300811,0.0,1.3185245172764228,1.5525685975609755,0.0,0.0,,,
date=2025-11-25,3917,0.8388562675516977,0.0,0.7577980597395967,0.925174240490171,0.0,0.0,,,
date=2025-11-21,3788,0.4597148891235481,0.0,0.41369192185850057,0.5108526927138333,0.0,0.0,,,
destination=Tübingen Schwabstraße,3744,0.2940170940170941,0.0,0.2522148771367521,0.3394798344017094,0.0,0.0,,,
date=2025-12-05,3737,0.9165640888413165,0.0,0.8225501739363125,1.01233676746053,0.0,0.0,,,
date=2025-12-01,3649,0.755248013154289,0.0,0.6787880241161963,0.8380700191833379,0.0,0.0,,,
destination=Tübingen Hirschauer Straße,3597,0.4605226577703642,0.0,0.3893223519599666,0.5401188490408674,0.0,0.0,,,
date=2025-11-26,3538,0.5916054267947993,0.0,0.53256076879593,0.6527430751837197,0.0,0.0,,,
date=2025-12-09,3521,1.1402442487929565,0.0,1.0300028401022436,1.2574744390798067,0.0,0.0,,,
destination=Tübingen Egeriaplatz,3515,0.977041251778094,0.0,0.8556899004267426,1.1165192034139402,0.0,0.0,,,
date=2026-01-07,3514,0.5200056915196357,0.0,0.4328528742174161,0.6188595617529881,0.0,0.0,,,
destination=Tübingen Stauden,3480,0.5975574712643679,0.0,0.5081293103448277,0.6955596264367814,0.0,0.0,,,
date=2025-11-28,3471,1.049438202247191,0.0,0.9309255257850764,1.1784327283203686,0.0,0.0,,,
precip_bin=0-0.5,3456,0.6524016203703703,0.0,0.582455150462963,0.7251765046296297,0.0,0.0,,,
date=2025-12-12,3414,0.8318101933216169,0.0,0.761686438195665,0.9048337727006445,0.0,0.0,,,
date=2025-12-19,3295,0.37714719271623676,0.0,0.31445902883156307,0.45494309559939294,0.0,0.0,,,
date=2025-11-24,3288,0.661161800486618,0.0,0.5928155413625305,0.7338861009732359,0.0,0.0,,,
