stop_id,trias_ref,stop_name,latitude,longitude,probability,weather_timestamp,temperature,precipitation_mm,wind_speed_ms,wind_direction_deg,cloud_cover,pressure_hpa,relative_humidity,condition,icon
de:08416:10045,de:08416:10045,Tübingen Biesingerstraße,48.51682,9.0437,0.711658001,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#28,de:08416:11000,Tübingen Hauptbahnhof,48.51637,9.05575,0.711658001,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#29,de:08416:11000,Tübingen Hauptbahnhof,48.51649,9.05646,0.711658001,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#30,de:08416:11000,Tübingen Hauptbahnhof,48.51662,9.05657,0.711658001,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#31,de:08416:11000,Tübingen Hauptbahnhof,48.51662,9.05657,0.711658001,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#35,de:08416:11000,Tübingen Hauptbahnhof,48.51652,9.05673,0.703886032,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#34,de:08416:11000,Tübingen Hauptbahnhof,48.5165,9.05672,0.703886032,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#33,de:08416:11000,Tübingen Hauptbahnhof,48.51666,9.05683,0.703886032,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#32,de:08416:11000,Tübingen Hauptbahnhof,48.51666,9.05681,0.703886032,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10014,de:08416:10014,Tübingen Haagtor,48.52071,9.04877,0.69870466,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10014#2,de:08416:10014,Tübingen Haagtor,48.52075,9.04873,0.696113944,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#36,de:08416:11000,Tübingen Hauptbahnhof,48.51651,9.05699,0.690932631,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10014#3,de:08416:10014,Tübingen Haagtor,48.52064,9.04919,0.688341975,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#37,de:08416:11000,Tübingen Hauptbahnhof,48.51644,9.05685,0.685751319,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#38,de:08416:11000,Tübingen Hauptbahnhof,48.51621,9.0564,0.685751319,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10045#2,de:08416:10045,Tübingen Biesingerstraße,48.51649,9.04293,0.683160603,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10501,de:08416:10501,Tübingen Neckarbrücke,48.51863,9.05795,0.680569947,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#39,de:08416:11000,Tübingen Hauptbahnhof,48.51637,9.05597,0.680569947,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
