stop_name,latitude,longitude,stop_ref
Reutlingen Hbf/Listplatz,48.49513,9.21053,
Reutlingen Hauptbahnhof,48.49498,9.20875,
Reutlingen Hbf/Gartenstraße,48.49508,9.21077,
Reutlingen Bellino./Altenheim,48.48335,9.21076,
Reutlingen Klinikum unten,48.48443,9.21685,
Reutlingen Landratsamt/IKG,48.49383,9.21843,
Reutlingen Am Echazufer,48.48624,9.22047,
Reutlingen Alteburgstr.,48.48408,9.20265,
Reutlingen Leonhardsplatz,48.49046,9.22031,
Mössingen J.-Gutenberg-Str.,48.40171,9.05887,
Mössingen Öschlesgärtenweg,48.40205,9.06264,
Mössingen Allee Kanton Saint-Julien,48.40088,9.05472,
Mössingen Lise-Meitner-Str.,48.4031,9.06701,
Mössingen Hafnergasse,48.40544,9.05865,
Mössingen Schulzentrum,48.40291,9.05274,
Mössingen Melanchthonstr.,48.40483,9.06457,
Mössingen Stadtmitte,48.40592,9.05628,
Reutlingen Hofgut Alteburg,48.46217,9.15376,
Reutlingen Käpfle,48.45593,9.14979,
Poltringen Ammerbrücke,48.53369,8.94798,
Poltringen Schlösslesäcker,48.5341,8.95171,
Poltringen Rathaus,48.5361,8.94638,
Pfrondorf Sophienpflege,48.55762,9.09834,
Pfrondorf Schönbuchhalle,48.55224,9.10767,
Pfrondorf Lindenstraße,48.55042,9.1053,
Pfrondorf Herm.-Reuchlin-Str.,48.54975,9.10827,
Pfrondorf Maienfeldstraße,48.5495,9.10988,
Pfrondorf Bei der Kirche,48.54805,9.11065,
Pfrondorf Rathaus,48.54801,9.11064,
Pfrondorf Steinbruchstraße,48.54657,9.10522,
Pfrondorf Seestraße,48.54602,9.10271,
Pfrondorf Zollernstraße,48.54502,9.09752,
K'furt Einhornstr.,48.53199,9.14069,
K'furt Alte Schule,48.53307,9.14434,
K'furt Richard-Wolf-Halle,48.53347,9.14496,
Kirchentellinsfurt Ortsmitte,48.53357,9.14775,
K'furt Bahnhof,48.52949,9.13897,
Mähringen Bahnhofstraße,48.48003,9.11406,
Altingen Ortswaage,48.55702,8.90349,
Altingen Kirche,48.55589,8.90318,
Altingen Kindergarten,48.55838,8.90654,
Bernhausen Diepoldstraße,48.67892,9.21985,
Bernhausen Fröbelstr.,48.68064,9.21866,
Bernhausen Hauptstraße,48.67851,9.21812,
Bernhausen Bahnhof,48.67717,9.21822,
Filderstadt,48.67667,9.21828,
Bernhausen Rathaus,48.67811,9.21394,
