source,target,segment_count,journey_count,avg_delay_delta,avg_arrival_delay_next,avg_arrival_delay_current,weight,avg_delay_delta_positive
de:08416:10337:0:1,de:08416:10323:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000:11:A,de:08416:10501:0:3,2,2,-0.7,0.7,2.1,-0.7,0.0
de:08416:10501:0:3,de:08416:10520:0:3,9,9,-0.056,0.1,0.156,-0.056,0.0
de:08416:10520:0:3,de:08416:10503:0:3,2,2,-0.15,0.3,0.45,-0.15,0.0
de:08416:10503:0:3,de:08416:10504:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10504:0:1,de:08416:10250:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10250:0:1,de:08416:10252:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10252:0:4,de:08416:10251:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10251:0:1,de:08416:10253:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10253:0:1,de:08416:10213:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10213:0:1,de:08416:10212:0:1,8,8,0.0,0.238,0.0,0.0,0.0
de:08416:10212:0:1,de:08416:10211:0:1,8,8,-0.012,0.225,0.238,-0.012,0.0
de:08416:10211:0:1,de:08416:10260:0:1,8,8,0.0,0.225,0.225,0.0,0.0
de:08416:10260:0:4,de:08416:10211:0:4,16,16,0.0,0.094,0.0,0.0,0.0
de:08416:10211:0:4,de:08416:10212:0:4,16,16,-0.025,0.069,0.094,-0.025,0.0
de:08416:10212:0:4,de:08416:10213:0:4,16,16,-0.019,0.05,0.069,-0.019,0.0
de:08416:10213:0:4,de:08416:10214:0:1,4,4,0.075,0.125,0.05,0.075,0.075
de:08416:10214:0:1,de:08416:10234:0:4,4,4,0.15,0.275,0.125,0.15,0.15
de:08416:10234:0:4,de:08416:10229:0:4,4,4,-0.15,0.125,0.275,-0.15,0.0
de:08416:10229:0:4,de:08416:10233:0:4,4,4,-0.125,0.0,0.125,-0.125,0.0
de:08416:10233:0:4,de:08416:10231:0:4,4,4,0.0,0.0,0.0,0.0,0.0
de:08416:10231:0:4,de:08416:10232:0:4,4,4,0.0,0.0,0.0,0.0,0.0
de:08416:10232:0:4,de:08416:10230:0:4,4,4,0.0,0.0,0.0,0.0,0.0
de:08416:10230:0:4,de:08416:10222:0:4,4,4,0.0,0.0,0.0,0.0,0.0
de:08416:10222:0:4,de:08416:10221:0:4,9,9,0.033,0.167,0.133,0.033,0.033
de:08416:10221:0:4,de:08416:10235:0:4,9,9,0.122,0.289,0.167,0.122,0.122
